Game_Number,Date,Opponent,At_Bats,Hits,Runs,RBI,Home_Runs,Doubles,Triples,Walks,Strikeouts,Stolen_Bases,Game_Average,Cumulative_Average
65,2024-06-07,vs Los Angeles Dodgers,3,2,0,1,0,1,0,2,0,0,0.667,0.294
66,2024-06-08,vs Los Angeles Dodgers,4,2,2,2,2,0,0,1,1,0,0.500,0.298
67,2024-06-09,vs Los Angeles Dodgers,4,3,2,2,1,1,0,0,1,0,0.750,0.305
68,2024-06-11,@ Kansas City Royals,4,2,1,3,1,0,0,0,0,0,0.500,0.309
69,2024-06-12,@ Kansas City Royals,5,1,1,0,0,0,0,0,0,0,0.200,0.306
70,2024-06-13,@ Kansas City Royals,4,0,0,0,0,0,0,0,4,0,0.000,0.302
71,2024-06-14,@ Boston Red Sox,4,1,2,1,0,1,0,1,2,0,0.250,0.301
72,2024-06-15,@ Boston Red Sox,4,1,0,0,0,0,0,1,0,0,0.250,0.300
73,2024-06-16,@ Boston Red Sox,4,1,1,1,1,0,0,0,3,0,0.250,0.299
74,2024-06-18,vs Baltimore Orioles,1,1,1,0,0,0,0,0,0,0,1.000,0.302
75,2024-06-20,vs Baltimore Orioles,3,2,1,3,1,0,0,0,1,0,0.667,0.306
76,2024-06-21,vs Atlanta Braves,4,0,0,0,0,0,0,0,2,0,0.000,0.301
77,2024-06-22,vs Atlanta Braves,4,1,1,3,1,0,0,1,1,0,0.250,0.301
78,2024-06-23,vs Atlanta Braves,4,1,0,0,0,0,0,0,2,0,0.250,0.300
79,2024-06-25,@ New York Mets,3,2,1,5,1,1,0,1,0,0,0.667,0.304
80,2024-06-26,@ New York Mets,2,2,1,2,1,0,0,1,0,0,1.000,0.309
81,2024-06-27,@ Toronto Blue Jays,4,0,0,0,0,0,0,0,2,0,0.000,0.304
82,2024-06-28,@ Toronto Blue Jays,5,3,3,2,0,0,0,0,1,0,0.600,0.310
83,2024-06-29,@ Toronto Blue Jays,3,2,0,1,0,0,0,1,0,0,0.667,0.313
84,2024-06-30,@ Toronto Blue Jays,4,2,1,2,1,0,0,0,2,0,0.500,0.316
85,2024-07-02,vs Cincinnati Reds,4,3,2,1,1,0,0,0,0,0,0.750,0.321
86,2024-07-03,vs Cincinnati Reds,3,0,0,0,0,0,0,1,0,0,0.000,0.318
87,2024-07-04,vs Cincinnati Reds,4,0,0,0,0,0,0,0,2,0,0.000,0.314
88,2024-07-05,vs Boston Red Sox,4,0,1,0,0,0,0,1,1,0,0.000,0.310
89,2024-07-06,vs Boston Red Sox,5,2,2,0,0,0,0,0,1,0,0.400,0.312
90,2024-07-07,vs Boston Red Sox,4,0,0,0,0,0,0,0,3,0,0.000,0.308
91,2024-07-09,@ Tampa Bay Rays,3,1,0,0,0,0,0,1,0,0,0.333,0.308
