Game_Number,Date,Opponent,At_Bats,Hits,Runs,RBI,Home_Runs,Doubles,Triples,Walks,Strikeouts,Stolen_Bases,Game_Average,Cumulative_Average
64,2024-06-09,@ Philadelphia Phillies,3,0,1,1,0,0,0,1,1,0,0.000,0.240
65,2024-06-11,vs Miami Marlins,4,0,0,0,0,0,0,0,2,0,0.000,0.236
66,2024-06-12,vs Miami Marlins,5,1,1,0,0,0,0,0,0,0,0.200,0.235
67,2024-06-13,vs Miami Marlins,2,0,0,0,0,0,0,1,1,0,0.000,0.233
68,2024-06-14,vs San Diego Padres,4,0,0,0,0,0,0,0,0,0,0.000,0.230
69,2024-06-15,vs San Diego Padres,5,1,0,0,0,1,0,0,3,0,0.200,0.229
70,2024-06-16,vs San Diego Padres,5,2,1,5,1,0,0,0,1,0,0.400,0.232
71,2024-06-17,@ Texas Rangers,5,3,1,2,0,0,0,1,0,0,0.600,0.239
72,2024-06-18,@ Texas Rangers,4,2,1,1,0,1,0,1,1,0,0.500,0.243
73,2024-06-19,@ Texas Rangers,4,1,1,2,1,0,0,0,1,0,0.250,0.243
74,2024-06-21,@ Chicago Cubs,3,1,0,0,0,1,0,2,2,0,0.333,0.244
75,2024-06-22,@ Chicago Cubs,4,1,0,0,0,0,0,0,1,0,0.250,0.244
76,2024-06-23,@ Chicago Cubs,3,0,0,0,0,0,0,1,0,0,0.000,0.241
77,2024-06-25,vs New York Yankees,2,0,0,1,0,0,0,1,0,0,0.000,0.240
78,2024-06-26,vs New York Yankees,3,1,3,0,0,0,0,1,0,0,0.333,0.241
79,2024-06-28,vs Houston Astros,4,1,1,1,1,0,0,0,2,0,0.250,0.241
80,2024-06-29,vs Houston Astros,4,2,0,2,0,0,0,1,1,1,0.500,0.244
81,2024-06-30,vs Houston Astros,3,1,1,0,0,1,0,2,1,0,0.333,0.245
82,2024-07-01,@ Washington Nationals,5,1,0,0,0,0,0,0,1,0,0.200,0.244
83,2024-07-02,@ Washington Nationals,5,2,1,2,1,0,0,0,1,0,0.400,0.247
84,2024-07-03,@ Washington Nationals,4,0,0,0,0,0,0,0,1,0,0.000,0.244
85,2024-07-04,@ Washington Nationals,3,0,0,0,0,0,0,0,1,0,0.000,0.242
86,2024-07-05,@ Pittsburgh Pirates,3,2,1,0,0,1,0,0,1,0,0.667,0.245
87,2024-07-06,@ Pittsburgh Pirates,4,0,0,0,0,0,0,0,2,0,0.000,0.243
88,2024-07-07,@ Pittsburgh Pirates,4,1,0,0,0,0,0,0,1,0,0.250,0.243
89,2024-07-08,@ Pittsburgh Pirates,4,0,0,0,0,0,0,0,0,0,0.000,0.240
90,2024-07-09,vs Washington Nationals,4,0,0,0,0,0,0,0,0,0,0.000,0.237
91,2024-07-10,vs Washington Nationals,4,2,1,0,0,0,0,0,0,0,0.500,0.240
92,2024-07-11,vs Washington Nationals,4,2,1,1,0,0,0,0,0,0,0.500,0.243
93,2024-07-12,vs Colorado Rockies,3,0,0,0,0,0,0,1,2,0,0.000,0.241
94,2024-07-13,vs Colorado Rockies,4,1,1,0,0,0,0,0,1,0,0.250,0.241
95,2024-07-14,vs Colorado Rockies,5,1,1,2,1,0,0,0,2,0,0.200,0.240
96,2024-07-19,@ Miami Marlins,3,0,0,0,0,0,0,2,0,0,0.000,0.238
97,2024-07-20,@ Miami Marlins,4,1,1,0,0,1,0,0,1,0,0.250,0.239
98,2024-07-21,@ Miami Marlins,4,1,1,0,0,0,0,0,0,0,0.250,0.239
99,2024-07-22,@ Miami Marlins,4,2,0,0,0,0,0,1,1,0,0.500,0.241
100,2024-07-23,@ New York Yankees,4,2,1,0,0,1,0,0,0,0,0.500,0.244
101,2024-07-24,@ New York Yankees,4,1,1,2,1,0,0,1,1,0,0.250,0.244
102,2024-07-25,vs Atlanta Braves,2,0,0,0,0,0,0,1,1,0,0.000,0.243
103,2024-07-26,vs Atlanta Braves,3,0,0,0,0,0,0,1,0,0,0.000,0.241
104,2024-07-27,vs Atlanta Braves,4,1,0,0,0,1,0,0,2,0,0.250,0.241
105,2024-07-28,vs Atlanta Braves,4,2,1,2,1,1,0,0,1,0,0.500,0.244
106,2024-07-29,vs Minnesota Twins,5,2,3,2,1,1,0,1,2,0,0.400,0.246
107,2024-07-30,vs Minnesota Twins,3,0,0,0,0,0,0,0,3,0,0.000,0.244
108,2024-07-31,vs Minnesota Twins,4,0,0,0,0,0,0,0,1,0,0.000,0.242
109,2024-08-02,@ Los Angeles Angels,4,1,1,2,1,0,0,1,3,0,0.250,0.242
110,2024-08-03,@ Los Angeles Angels,3,1,0,0,0,0,0,1,1,0,0.333,0.242
111,2024-08-04,@ Los Angeles Angels,3,0,0,0,0,0,0,0,0,0,0.000,0.241
112,2024-08-05,@ St. Louis Cardinals,3,1,1,0,0,0,0,1,1,0,0.333,0.241
113,2024-08-06,@ Colorado Rockies,3,1,1,0,0,0,0,1,2,0,0.333,0.242
114,2024-08-07,@ Colorado Rockies,4,1,0,1,0,0,0,1,2,1,0.250,0.242
115,2024-08-08,@ Colorado Rockies,5,3,3,3,2,0,0,0,2,0,0.600,0.246
116,2024-08-09,@ Seattle Mariners,4,0,0,0,0,0,0,0,2,0,0.000,0.244
117,2024-08-10,@ Seattle Mariners,4,0,0,0,0,0,0,0,1,0,0.000,0.242
118,2024-08-11,@ Seattle Mariners,3,0,0,0,0,0,0,1,3,0,0.000,0.240
119,2024-08-13,vs Oakland Athletics,5,1,0,2,0,0,0,0,3,0,0.200,0.240
